Numéro de notice,Titre,Facteur ou auteur,Type d'objet,Instrument niveau 1,Instrument niveau 2,Instrument niveau 3,Collection d'origine,Incontournable,URL Photographie,URL Enregistrement,Enregistrement,Continent,Pays,Code ISO-2,Ville,Coordonnées,Autres descripteurs géographiques
787881,"Tambour à deux membranes ""pakhavaj"" / E.1335",Anonyme,Instrument de musique,Instrument à percussion,Tambours,Pakhavaj,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000027600.jpg,,,Asie,Inde,IN,,,Asie du Sud
788160,"Timbale ""ampongavilang"" / E.1861",Anonyme,Instrument de musique,Instrument à percussion,Timbales,Timbale,Albert Lavignac,,https://mimo-international.com/media/CM/IMAGE/CMIM000028751.jpg,,,Afrique,Madagascar,MG,,,Océan Indien
788163,Fac-simile d'une harpe arquée égyptienne conservée au musée du Louvre / E.1404,"Hallé, M.",Instrument de musique,Instrument à cordes,Harpes,Harpe arquée,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028607.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
788167,"Hochet en radeau ""tsikatray"" ou ""zavanameno"" / E.1858",Anonyme,Instrument de musique,Instrument à percussion,Hochets,Hochet,Albert Lavignac,,https://mimo-international.com/media/CM/IMAGE/CMIM000028746.jpg,,,Afrique,Madagascar,MG,,,Océan Indien
788169,"Plaque sonore ""tetchety"" / E.1220.1",Anonyme,Instrument de musique,,,,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028180.jpg,,,Asie,Birmanie,MM,,,Asie du Sud-Est
788172,Carillon / E.1801,Anonyme,Instrument de musique,Instrument à percussion,Cloches,Carillon,Pauline Tarn,,https://mimo-international.com/media/CM/IMAGE/CMIM000027604.jpg,,,Asie,Japon,JP,,,Extrême Orient
788176,"Bambous oscillants ""angklung"" / E.1064",Anonyme,Instrument de musique,Instrument à percussion,Hochets,Angklung,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028150.jpg,,,Asie,Indonésie,ID,,,Java | Asie du Sud-Est
788181,"Bambous oscillants ""angklung"" / E.1065",Anonyme,Instrument de musique,,,,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028154.jpg,,,Asie,Indonésie,ID,,,Java | Asie du Sud-Est
788184,"Bambous oscillants ""angklung"" / E.1066",Anonyme,Instrument de musique,Instrument à percussion,Hochets,Angklung,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028158.jpg,,,Asie,Indonésie,ID,,,Java | Asie du Sud-Est
789038,"Tambour sur caisse ""dindimi"" / E.877",Anonyme,Instrument de musique,Instrument à percussion,Tambours,Dindimi,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028944.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789040,"Tambour sur cadre ""khanjani"" / E.876",Anonyme,Instrument de musique,Instrument à percussion,Tambours,Khanjari,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028941.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789042,"Monocorde à tension variable ""gopiyantra"" / E.826",Anonyme,Instrument de musique,Instrument à cordes,Monocordes,Gopiyantra,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028932.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789052,"Vièle ""esraj"" et archet / E.813",Anonyme,Instrument de musique,Instrument à cordes,Vièles,Esraj,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028929.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789060,"Luth ""surbahar"" / E.1281",Anonyme,Instrument de musique,Instrument à cordes,Luths,Surbahar,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028906.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789062,"Vièle ""esraj"" / E.1297",Anonyme,Instrument de musique,Instrument à cordes,Vièles,Esraj,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028582.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789067,"Vièle ""esraj"" / E.01466",Anonyme,Instrument de musique,,,,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028404.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789077,"Luth type sitar ""kacchapi vina"" / E.1278",Anonyme,Instrument de musique,Instrument à cordes,Luths,Luth,Sourindro Mohun Tagore,,https://mimo-international.com/media/CM/IMAGE/CMIM000028567.jpg,,,Asie,Inde,IN,,,Bengale | Inde du Nord | Asie du Sud
789080,"Cithare sur bâton ""lokanga voatavo"" / E.1852",Anonyme,Instrument de musique,Instrument à cordes,Vièles,Lokanga,Albert Lavignac,,https://mimo-international.com/media/CM/IMAGE/CMIM000027632.jpg,,,Afrique,Madagascar,MG,,,Océan Indien
789104,Carillon / E.225,Anonyme,Instrument de musique,,,,Louis Clapisson,,https://mimo-international.com/media/CM/IMAGE/CMIM000031252.jpg,,,Europe,,,,,
792628,Luth / E.2060,Anonyme,Instrument de musique,Instrument à cordes,Luths,Luth,Paul Cesbron,,https://mimo-international.com/media/CM/IMAGE/CMIM000027803.jpg,,,Europe,,,,,
792647,Guitare-harpe / E.2006.2.1,Anonyme,Instrument de musique,Instrument à cordes,Guitares,Guitare-harpe,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027786.jpg,https://mimo-international.com/media/CM/AUDIO/CM0792647eCOAU000503601_14.mp3,"Sweet Hour of Prayer William Batchelder Bradbury, composition. Olivier Andres, guitare ; Christian Séguret, mandoline",Amérique du Nord,Etats-Unis,US,,,Amérique
792649,Guitare / E.2006.1.1,"Panormo, Louis (1784-1862)",Instrument de musique,Instrument à cordes,Guitares,Guitare,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027789.jpg,https://mimo-international.com/media/CM/AUDIO/CM0792649eCOAU000503601_11.mp3,"Liebesbotschaft : arrangement pour la guitare d'un Lied extrait du Schwanengesang de Franz Schubert Johann Kaspar Mertz, arr.. Jean-Marc Zvellenreuther, guitare",Europe,Royaume-Uni,GB,Londres,"51.50853, -0.12574",Angleterre
792651,Guitare classique / E.2005.10.1,Anonyme,Instrument de musique,Instrument à cordes,Guitares,Guitare,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027784.jpg,,,Europe,Russie,RU,,,
793739,"Vièle à pique ""rebab"" / E.514",Anonyme,Instrument de musique,,,,Julien Fau,,https://mimo-international.com/media/CM/IMAGE/CMIM000030331.jpg,,,Asie,,,,,Java
793752,"Orgue à bouche ""sho"" / E.285",Anonyme,Instrument de musique,Instrument à vent,Orgues à bouche,Sheng,Louis Clapisson,,https://mimo-international.com/media/CM/IMAGE/CMIM000022354.jpg,,,Asie,Japon,JP,,,
